번호,ID,문제 파일명,정답 파일명,출처,연도,과목,단원,관련 과목,정답률,난이도,답
"1","8eb1f523-8af9-4c61-aa34-1e118bb418cb","版力454.png","版力454-a.png","2019년 7월 학평 18번","2019","통합사회 2","국제 분업과 무역","경제","46","중","2"
"2","98592709-8171-40d7-ba63-7ff331d48148","版力453.png","版力453-a.png","2022년 7월 학평 12번","2022","통합사회 2","국제 분업과 무역","경제","55","중","5"
"3","8546ea82-d723-48a6-9b27-bea568ef7bf5","版力452.png","版力452-a.png","2023년 4월 학평 11번","2023","통합사회 2","국제 분업과 무역","경제","66","하","3"
"4","f5eb0c9e-ddae-4a6a-8eac-f1dbcdfdf04e","版力451.png","版力451-a.png","2024학년도 6월 모평 9번","2024","통합사회 2","국제 분업과 무역","경제","64","하","2"
"5","033e1a4d-f43e-4b52-b9c7-913329ff27c5","版力450.png","版力450-a.png","2022년 7월 학평 18번","2022","통합사회 2","국제 분업과 무역","경제","61","하","1"
"6","09e72d44-80be-4993-a30a-26db2cfa6017","版力449.png","版力449-a.png","2020학년도 수능 9번","2020","통합사회 2","국제 분업과 무역","경제","66","하","4"
"7","f3c1f08d-1251-4b7a-aee1-b21e7d58218e","版力448.png","版力448-a.png","2020학년도 9월 모평 13번","2020","통합사회 2","국제 분업과 무역","경제","37","상","2"
"8","bb8c33b1-7cd9-4795-9053-8045ed61e128","版力447.png","版力447-a.png","2024학년도 수능 6번","2024","통합사회 2","국제 분업과 무역","경제","86","하","2"
"9","fec9ffbd-0367-4fbd-9692-9952dfe1d6e0","版力446.png","版力446-a.png","2020년 4월 학평 12번","2020","통합사회 2","국제 분업과 무역","경제","63","하","4"
"10","0f1bc0ee-07e1-4d19-bf75-0f1820f008d5","版力445.png","版力445-a.png","2020년 3월 학평 19번","2020","통합사회 2","국제 분업과 무역","경제","60","하","3"
"11","3d1ad6eb-8f3c-4c40-98f8-208008d6e984","版力444.png","版力444-a.png","2023학년도 6월 모평 4번","2023","통합사회 2","국제 분업과 무역","경제","62","하","4"
"12","ebcc3e26-1ae3-49ff-bcb9-912b4737fa3b","版力443.png","版力443-a.png","2021학년도 6월 모평 10번","2021","통합사회 2","국제 분업과 무역","경제","82","하","3"
"13","dddb0031-bd77-431f-9d2b-661f0856b144","版力442.png","版力442-a.png","2025학년도 수능 11번","2025","통합사회 2","국제 분업과 무역","경제","36","상","1"
"14","fc48e68f-0466-443a-8ed7-c581bb9e0778","版力441.png","版力441-a.png","2019년 3월 학평 20번","2019","통합사회 2","국제 분업과 무역","경제","53","중","3"
"15","3d7a7010-377a-404a-a54a-f4f73d0eda52","版力440.png","版力440-a.png","2023학년도 9월 모평 17번","2023","통합사회 2","국제 분업과 무역","경제","59","중","4"
"16","9e5ec687-d1ac-4760-8a07-a4e9df936b17","版力439.png","版力439-a.png","2020학년도 9월 모평 15번","2020","통합사회 2","국제 분업과 무역","경제","48","중","5"
"17","50cebebe-7991-42c5-a2c3-cf2246d5219b","版力438.png","版力438-a.png","2023학년도 수능 12번","2023","통합사회 2","국제 분업과 무역","경제","57","중","3"
"18","fc20dda8-06c2-4657-b07c-14ffb06f4abf","版力437.png","版力437-a.png","2024년 7월 학평 20번","2024","통합사회 2","국제 분업과 무역","경제","52","중","5"
"19","94601b92-9c18-45ee-881d-6cf41f9fd81f","版力436.png","版力436-a.png","2019년 10월 학평 15번","2019","통합사회 2","국제 분업과 무역","경제","50","중","3"
"20","618ba8e2-bd56-45ae-b9f3-35711164b79e","版力435.png","版力435-a.png","2020학년도 수능 18번","2020","통합사회 2","국제 분업과 무역","경제","47","중","3"
"21","c4d858be-194b-4a3e-b40c-074118c0eba2","版力434.png","版力434-a.png","2025학년도 6월 모평 15번","2025","통합사회 2","국제 분업과 무역","경제","49","중","5"
"22","51368c66-aed6-4140-bbbb-c1debbb55950","版力433.png","版力433-a.png","2020년 4월 학평 20번","2020","통합사회 2","국제 분업과 무역","경제","62","하","4"
"23","d52c5c71-e860-4239-b758-646c940dae8e","版力432.png","版力432-a.png","2023년 10월 학평 20번","2023","통합사회 2","국제 분업과 무역","경제","48","중","2"
"24","ba925dea-8057-40a4-b0e8-7cb59dc554f7","版力431.png","版力431-a.png","2024년 4월 학평 19번","2024","통합사회 2","국제 분업과 무역","경제","47","중","3"
"25","1c57b5ae-e10a-45d4-a4b8-e0c5a7844d73","版力430.png","版力430-a.png","2023년 7월 학평 19번","2023","통합사회 2","국제 분업과 무역","경제","52","중","5"
"26","7f06a0ec-51fb-45df-8eb8-57997d250804","版力429.png","版力429-a.png","2024년 3월 학평 20번","2024","통합사회 2","국제 분업과 무역","경제","46","중","1"
"27","1a93bca7-c29f-4d2b-a74c-359a8be654a4","版力428.png","版力428-a.png","2019년 7월 학평 20번","2019","통합사회 2","국제 분업과 무역","경제","40","중","1"
"28","e682abc4-65d3-4f38-a2c3-30921f0470e7","版力427.png","版力427-a.png","2023년 3월 학평 15번","2023","통합사회 2","국제 분업과 무역","경제","53","중","4"
"29","e08776e9-e851-40bb-9dd5-0dafc73e0e18","版力426.png","版力426-a.png","2022학년도 6월 모평 19번","2022","통합사회 2","국제 분업과 무역","경제","67","하","5"
"30","e55ab36d-922f-4757-8231-2fe9584460a2","版力425.png","版力425-a.png","2022년 7월 학평 20번","2022","통합사회 2","국제 분업과 무역","경제","51","중","5"
"31","5b68c599-0140-494b-b634-50e5ebff832d","版力424.png","版力424-a.png","2021년 4월 학평 12번","2021","통합사회 2","국제 분업과 무역","경제","49","중","4"
"32","9404c290-ce18-4ac2-af47-fd2bf0f0cc3f","版力423.png","版力423-a.png","2022년 10월 학평 20번","2022","통합사회 2","국제 분업과 무역","경제","48","중","2"
"33","f4184ccd-4a1a-4a17-b297-3db0cdaf85a7","版力422.png","版力422-a.png","2021학년도 수능 15번","2021","통합사회 2","국제 분업과 무역","경제","42","중","3"
"34","a1940725-72ea-4b56-8b3f-fccb48d006f7","版力421.png","版力421-a.png","2023학년도 6월 모평 18번","2023","통합사회 2","국제 분업과 무역","경제","48","중","3"
"35","672c11c6-db8b-4dbe-90e7-2b31809e549f","版力420.png","版力420-a.png","2019년 4월 학평 18번","2019","통합사회 2","국제 분업과 무역","경제","60","하","4"
"36","d7050b2d-55a9-49ba-898f-3aa3e2a9e720","版力419.png","版力419-a.png","2022년 4월 학평 15번","2022","통합사회 2","국제 분업과 무역","경제","52","중","4"
"37","923f9e76-d63e-4061-a66f-9d28b660770a","版力418.png","版力418-a.png","2021학년도 6월 모평 14번","2021","통합사회 2","국제 분업과 무역","경제","62","하","5"
"38","4b8b92e3-bd59-463a-b518-3cd4e44d92ad","版力417.png","版力417-a.png","2024년 10월 학평 19번","2024","통합사회 2","국제 분업과 무역","경제","66","하","3"
"39","906d64cc-b425-4307-863f-816cc364090a","版力416.png","版力416-a.png","2022년 3월 학평 20번","2022","통합사회 2","국제 분업과 무역","경제","41","중","4"
"40","6881c553-9d45-4cc2-b46c-a7cda3ed92a9","版力415.png","版力415-a.png","2021년 7월 학평 6번","2021","통합사회 2","국제 분업과 무역","경제","48","중","5"
"41","1eed6c98-a9f6-4fe0-b5b1-4a52f3322bda","版力414.png","版力414-a.png","2024학년도 6월 모평 15번","2024","통합사회 2","국제 분업과 무역","경제","53","중","5"
"42","f1546f52-8e51-4b89-9cb8-f27c663e26bc","版力413.png","版力413-a.png","2020학년도 6월 모평 7번","2020","통합사회 2","국제 분업과 무역","경제","62","하","3"
"43","6212cc50-4ab1-442f-a120-8410d850296e","版力412.png","版力412-a.png","2022학년도 수능 10번","2022","통합사회 2","국제 분업과 무역","경제","67","하","2"
"44","3866b8e7-ba80-4753-bbe9-b13a56fbefe2","版力411.png","版力411-a.png","2023년 4월 학평 10번","2023","통합사회 2","국제 분업과 무역","경제","43","중","5"
"45","7b07997f-6be8-482e-beac-aab7304ba581","版力410.png","版力410-a.png","2020년 10월 학평 16번","2020","통합사회 2","국제 분업과 무역","경제","54","중","3"
"46","ff169be9-f073-45f8-abd0-ac4a5d6d5e49","版力409.png","版力409-a.png","2025학년도 9월 모평 14번","2025","통합사회 2","국제 분업과 무역","경제","58","중","4"
"47","c9f8ba32-e80e-40e3-9216-86e6376c48e4","版力408.png","版力408-a.png","2021년 3월 학평 15번","2021","통합사회 2","국제 분업과 무역","경제","50","중","2"
"48","609dfdcd-5035-4398-8cdf-15d34b56e84d","版力407.png","版力407-a.png","2024학년도 9월 모평 14번","2024","통합사회 2","국제 분업과 무역","경제","61","하","4"
