"구분","과목","항목","값","상세"
"요약","전체","컨텐츠팀 파일 총 행 수","998",
"요약","정치와 법","컨텐츠팀 파일 행 수","299",
"요약","정치와 법","DB 매칭된 행 수","299","(고유 항목 298개)"
"요약","정치와 법","DB 미매칭 행 수","0",
"요약","생활과 윤리","컨텐츠팀 파일 행 수","115",
"요약","생활과 윤리","DB 매칭된 행 수","115",
"요약","생활과 윤리","DB 미매칭 행 수","0",
"요약","경제","컨텐츠팀 파일 행 수","584",
"요약","경제","DB 매칭된 행 수","582",
"요약","경제","DB 미매칭 행 수","2",
"순번무결성","정치와 법","순번 범위","1-298",
"순번무결성","정치와 법","예상 개수","298",
"순번무결성","정치와 법","실제 개수","299",
"순번무결성","정치와 법","중복 개수","1","#298 (2 times)"
"순번무결성","정치와 법","누락된 순번 개수","0",
"순번무결성","생활과 윤리","순번 범위","1-115",
"순번무결성","생활과 윤리","예상 개수","115",
"순번무결성","생활과 윤리","실제 개수","115",
"순번무결성","생활과 윤리","중복 개수","0",
"순번무결성","생활과 윤리","누락된 순번 개수","0",
"순번무결성","경제","순번 범위","1-586",
"순번무결성","경제","예상 개수","586",
"순번무결성","경제","실제 개수","584",
"순번무결성","경제","중복 개수","0",
"순번무결성","경제","누락된 순번 개수","2","555, 566"
"DB미매칭","경제","순번 #118",,"출처: 2021년 4월 학평 6번 | 태그: 정부의  경제적 역할"
"DB미매칭","경제","순번 #478",,"출처: 2021년 4월 학평 16번 | 태그: 환율 변동의 영향"
