"global_index","순번","문제 파일명","정답 파일명","통합사회 1권/2권","대단원","소단원 (자세한)","기존 사탐 범주","내신 난이도 (상,중,하)","정답율%","기출문제 유무 (Y/N)","태그 (쉼표구분)","출처"
"1","1",,,"통합사회2","인권 보장과 헌법","인권의 의미와 현대 사회의 인권","정치와 법","중","57","Y","민주주의의 의미","2020학년도 9월 모평11번"
"2","2",,,"통합사회2","인권 보장과 헌법","인권의 의미와 현대 사회의 인권","정치와 법","하","87","Y","민주주의의 발전 과정","2017학년도 9월 모평2번"
"3","3",,,"통합사회2","인권 보장과 헌법","인권의 의미와 현대 사회의 인권","정치와 법","하","84","Y","민주주의의 발전 과정","2020학년도 수능 2번"
"4","4",,,"통합사회2","인권 보장과 헌법","인권의 의미와 현대 사회의 인권","정치와 법","하","85","Y","민주주의의 발전 과정","2020년 4월 학평 7번"
"5","5",,,"통합사회2","인권 보장과 헌법","인권의 의미와 현대 사회의 인권","정치와 법","하","70","Y","민주주의의 발전 과정","2020학년도 6월 모평 4번"
"6","6",,,"통합사회2","인권 보장과 헌법","인권의 의미와 현대 사회의 인권","정치와 법","하","68","Y","민주주의의 발전 과정","2021년 10월 학평 4번"
"7","7",,,"통합사회2","인권 보장과 헌법","인권의 의미와 현대 사회의 인권","정치와 법","하","64","Y","민주주의의 발전 과정","2020학년도 9월 모평 6번"
"8","8",,,"통합사회2","인권 보장과 헌법","인권의 의미와 현대 사회의 인권","정치와 법","하","73","Y","민주주의의 발전 과정","2019년 7월 학평 3번"
"9","9",,,"통합사회2","인권 보장과 헌법","인권의 의미와 현대 사회의 인권","정치와 법","하","74","Y","사회 계약설","2018학년도 9월 모평 3번"
"10","10",,,"통합사회2","인권 보장과 헌법","인권의 의미와 현대 사회의 인권","정치와 법","하","63","Y","사회 계약설","2017년 4월 학평 4번"
"11","11",,,"통합사회2","인권 보장과 헌법","인권의 의미와 현대 사회의 인권","정치와 법","중","54","Y","사회 계약설","2017년 7월 학평 1번"
"12","12",,,"통합사회2","인권 보장과 헌법","인권의 의미와 현대 사회의 인권","정치와 법","중","60","Y","사회 계약설","2018년 3월 학평 4번"
"13","13",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","84","Y","민주주의의 의미","2021학년도 수능 3번"
"14","14",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","95","Y","현대 민주 정치의 특징","(정) 2012학년도 수능 19번"
"15","15",,,"통합사회2","인권 보장과 헌법","인권 보장을 위한 헌법의 역할과 시민참여","정치와 법","하","82","Y","현대 민주 정치의 특징","(정) 2012학년도 9월 모평 18번"
